,id,year,prod,agreementindex,bias,correlationcoefficient,covariance,decomposed_mse,kge,log_p,mae,mse,nashsutcliffe,pbias,rmse,rrmse,rsquared,rsr,volume_error,lid,USGS_id,USGS_name,Area,Slope,t_trav,lat,lon,ifis_id,num_up_gag,nRMSE,nMAE,timing,norm_bias,ppd,peak_qsim,qsim_vol,qobs_vol,pt_change_vol
33,319,2018,Q_assim,0.9133,15.9078,0.8823,2921.8429,1131.6112,0.6499,-19.5939,21.8286,1131.6112,0.7125,-28.9006,33.6394,0.6111,0.7785,0.5362,-0.2890,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0202,0.0131,1.0000,-0.2536,0.3852,537.3633,769271652.0000,1079629196.7744,-28.7467
34,2218,2010,Q_ol,0.8390,-7.5489,0.8433,133.2630,107.9772,0.5163,-19.9607,9.1466,107.9772,0.3793,44.8317,10.3912,0.6171,0.7111,0.7879,0.4483,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0062,0.0055,-5.0000,0.5723,-0.0238,93.4333,506180468.6145,349483860.0677,44.8366
35,2219,2011,Q_ol,0.8059,-0.7660,0.8205,76.9675,75.3540,0.4858,-23.8072,6.5217,75.3540,0.5808,5.9701,8.6807,0.6766,0.6732,0.6475,0.0597,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0052,0.0039,0.0000,0.0571,-0.3837,66.8360,286690901.1705,270738272.1133,5.8923
36,2220,2012,Q_ol,0.8717,1.4269,0.8591,45.6003,27.0868,0.5640,-32.0819,2.9583,27.0868,0.6689,-21.6439,5.2045,0.7895,0.7381,0.5754,-0.2164,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0031,0.0018,-3.0000,-0.1577,-0.4587,34.1783,108279017.7562,138820181.9191,-22.0005
37,2221,2013,Q_ol,0.8717,9.1350,0.8980,828.1088,502.5186,0.4889,-30.5091,13.0560,502.5186,0.6679,-31.3488,22.4169,0.7693,0.8063,0.5763,-0.3135,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0134,0.0078,0.0000,-0.2348,-0.3642,264.6499,421005354.5691,610713577.8418,-31.0634
38,2222,2014,Q_ol,0.8506,9.2756,0.9156,1037.9838,746.1005,0.3750,-71.9843,11.5404,746.1005,0.6503,-40.4844,27.3148,1.1922,0.8382,0.5913,-0.4048,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0164,0.0069,-3.0000,-0.2008,-0.5066,402.3420,313634328.3675,525359792.5664,-40.3010
39,2223,2015,Q_ol,0.8381,4.8904,0.7924,165.4556,133.9694,0.4968,-37.2984,6.2103,133.9694,0.5401,-36.0403,11.5745,0.8530,0.6279,0.6782,-0.3604,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0069,0.0037,2.0000,-0.2865,-0.1454,155.1276,211747187.6379,329759766.1267,-35.7874
40,2224,2016,Q_ol,0.8289,12.9467,0.8686,2497.0389,2110.5781,0.4360,-52.1097,21.8137,2110.5781,0.6098,-28.5147,45.9410,1.0118,0.7545,0.6246,-0.2851,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0275,0.0131,1.0000,-0.1760,-0.5307,419.9722,726149444.6228,1026608576.9299,-29.2672
41,2225,2017,Q_ol,0.8029,-3.3649,0.6816,406.2616,401.1380,0.6314,-35.3527,12.6797,401.1380,0.4095,13.9423,20.0284,0.8299,0.4645,0.7685,0.1394,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0120,0.0076,2.0000,0.1291,-0.2396,174.8434,631234976.9297,552716338.4467,14.2060
42,2226,2018,Q_ol,0.9089,17.0367,0.8957,2475.0408,1022.9355,0.5857,-21.3962,20.0499,1022.9355,0.7080,-34.0889,31.9834,0.6400,0.8022,0.5404,-0.3409,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0192,0.0120,2.0000,-0.2879,0.0075,390.8609,775540031.0549,1176765935.5354,-34.0956
